objectID,post_title,url,Nom simplifié,Nom
cocktail_1214,Purple Rain,https://1ou2cocktails.com/cocktails/purple-rain/,sirop,sirop
cocktail_1214,Purple Rain,https://1ou2cocktails.com/cocktails/purple-rain/,eau,eau
cocktail_1218,Long Island Iced Tea,https://1ou2cocktails.com/cocktails/long-island-iced-tea/,rhum,rhum
cocktail_1218,Long Island Iced Tea,https://1ou2cocktails.com/cocktails/long-island-iced-tea/,la,tequila
cocktail_1218,Long Island Iced Tea,https://1ou2cocktails.com/cocktails/long-island-iced-tea/,liqueur,liqueur
cocktail_1218,Long Island Iced Tea,https://1ou2cocktails.com/cocktails/long-island-iced-tea/,jus,jus citron
cocktail_1218,Long Island Iced Tea,https://1ou2cocktails.com/cocktails/long-island-iced-tea/,jus,jus lime
cocktail_1218,Long Island Iced Tea,https://1ou2cocktails.com/cocktails/long-island-iced-tea/,sirop,sirop
cocktail_1223,Paloma rhum agricole et cannelle,https://1ou2cocktails.com/cocktails/paloma-rhum-agricole-et-cannelle/,rhum,rhum agricole trois rivières cuvée
cocktail_1223,Paloma rhum agricole et cannelle,https://1ou2cocktails.com/cocktails/paloma-rhum-agricole-et-cannelle/,jus,jus pamplemousse
cocktail_1223,Paloma rhum agricole et cannelle,https://1ou2cocktails.com/cocktails/paloma-rhum-agricole-et-cannelle/,cannelle,cannelle
cocktail_1223,Paloma rhum agricole et cannelle,https://1ou2cocktails.com/cocktails/paloma-rhum-agricole-et-cannelle/,eau,eau pétillante saveur pamplemousse la
cocktail_1223,Paloma rhum agricole et cannelle,https://1ou2cocktails.com/cocktails/paloma-rhum-agricole-et-cannelle/,pamplemousse,pamplemousse et tête
cocktail_1345,Unicorn Collins,https://1ou2cocktails.com/cocktails/unicorn-collins/,gin,gin bleu
cocktail_1345,Unicorn Collins,https://1ou2cocktails.com/cocktails/unicorn-collins/,jus,jus citron
cocktail_1345,Unicorn Collins,https://1ou2cocktails.com/cocktails/unicorn-collins/,sirop,sirop
cocktail_1345,Unicorn Collins,https://1ou2cocktails.com/cocktails/unicorn-collins/,soda,soda au
cocktail_1345,Unicorn Collins,https://1ou2cocktails.com/cocktails/unicorn-collins/,garniture,garniture
cocktail_1087,Vin blanc chaud pomme et cannelle,https://1ou2cocktails.com/cocktails/vin-blanc-chaud-pomme-et-cannelle/,vin,vin
cocktail_1083,Cocktail à la crème écossaise et au yogourt à la noix de coco,https://1ou2cocktails.com/cocktails/cocktail-a-la-creme-ecossaise-et-au-yogourt-a-la-noix-de-coco/,crème,crème écossaise
cocktail_1083,Cocktail à la crème écossaise et au yogourt à la noix de coco,https://1ou2cocktails.com/cocktails/cocktail-a-la-creme-ecossaise-et-au-yogourt-a-la-noix-de-coco/,ou,yogourt la noix
cocktail_1083,Cocktail à la crème écossaise et au yogourt à la noix de coco,https://1ou2cocktails.com/cocktails/cocktail-a-la-creme-ecossaise-et-au-yogourt-a-la-noix-de-coco/,jus,jus
cocktail_1083,Cocktail à la crème écossaise et au yogourt à la noix de coco,https://1ou2cocktails.com/cocktails/cocktail-a-la-creme-ecossaise-et-au-yogourt-a-la-noix-de-coco/,poudre,poudre cari et noix coco
cocktail_1078,Apéritif italien Café et Canneberge,https://1ou2cocktails.com/cocktails/aperitif-italien-cafe-et-kombucha-canneberge/,vermouth,vermouth rouge italien
cocktail_1078,Apéritif italien Café et Canneberge,https://1ou2cocktails.com/cocktails/aperitif-italien-cafe-et-kombucha-canneberge/,café,café
cocktail_1078,Apéritif italien Café et Canneberge,https://1ou2cocktails.com/cocktails/aperitif-italien-cafe-et-kombucha-canneberge/,la,la
cocktail_1078,Apéritif italien Café et Canneberge,https://1ou2cocktails.com/cocktails/aperitif-italien-cafe-et-kombucha-canneberge/,zeste,zeste
cocktail_1242,"Cocktail à la tequila, aux agrumes et au prosecco",https://1ou2cocktails.com/cocktails/cocktail-a-la-tequila-aux-agrumes-et-au-prosecco/,la,tequila
cocktail_1242,"Cocktail à la tequila, aux agrumes et au prosecco",https://1ou2cocktails.com/cocktails/cocktail-a-la-tequila-aux-agrumes-et-au-prosecco/,liqueur,liqueur mandarine mandarine
cocktail_1242,"Cocktail à la tequila, aux agrumes et au prosecco",https://1ou2cocktails.com/cocktails/cocktail-a-la-tequila-aux-agrumes-et-au-prosecco/,purée,purée
cocktail_1242,"Cocktail à la tequila, aux agrumes et au prosecco",https://1ou2cocktails.com/cocktails/cocktail-a-la-tequila-aux-agrumes-et-au-prosecco/,jus,jus sanguine
cocktail_1242,"Cocktail à la tequila, aux agrumes et au prosecco",https://1ou2cocktails.com/cocktails/cocktail-a-la-tequila-aux-agrumes-et-au-prosecco/,pincée,une pincée
cocktail_1242,"Cocktail à la tequila, aux agrumes et au prosecco",https://1ou2cocktails.com/cocktails/cocktail-a-la-tequila-aux-agrumes-et-au-prosecco/,vin,vin mousseux
cocktail_1075,Sour vodka et framboise,https://1ou2cocktails.com/cocktails/sour-vodka-framboise/,liqueur,liqueur framboise maison
cocktail_1075,Sour vodka et framboise,https://1ou2cocktails.com/cocktails/sour-vodka-framboise/,jus,jus pamplemousse
cocktail_1075,Sour vodka et framboise,https://1ou2cocktails.com/cocktails/sour-vodka-framboise/,jus,jus lime
cocktail_1075,Sour vodka et framboise,https://1ou2cocktails.com/cocktails/sour-vodka-framboise/,sirop,sirop
cocktail_1075,Sour vodka et framboise,https://1ou2cocktails.com/cocktails/sour-vodka-framboise/,céréales type,céréales type
cocktail_1070,Casse-Grippe au Gin,https://1ou2cocktails.com/cocktails/casse-grippe-au-gin/,gin,gin
cocktail_1070,Casse-Grippe au Gin,https://1ou2cocktails.com/cocktails/casse-grippe-au-gin/,gin,gin
cocktail_1070,Casse-Grippe au Gin,https://1ou2cocktails.com/cocktails/casse-grippe-au-gin/,tisane,tisane rhume biologique
cocktail_1070,Casse-Grippe au Gin,https://1ou2cocktails.com/cocktails/casse-grippe-au-gin/,gingembre,gingembre
cocktail_1246,Tisane Gin &amp; Camomille,https://1ou2cocktails.com/cocktails/tisane-gin-camomille-pour-les-maux-de-gorge/,gin,gin
cocktail_1246,Tisane Gin &amp; Camomille,https://1ou2cocktails.com/cocktails/tisane-gin-camomille-pour-les-maux-de-gorge/,thé,thé fleurs camomille ou sachet tisane la
cocktail_1246,Tisane Gin &amp; Camomille,https://1ou2cocktails.com/cocktails/tisane-gin-camomille-pour-les-maux-de-gorge/,cacao en,bâton réglisse coupé en
cocktail_1111,Ponce de gin,https://1ou2cocktails.com/cocktails/ponce-de-gin/,gin,gin
cocktail_1111,Ponce de gin,https://1ou2cocktails.com/cocktails/ponce-de-gin/,jus,jus citron
cocktail_1111,Ponce de gin,https://1ou2cocktails.com/cocktails/ponce-de-gin/,clous,clous
cocktail_1111,Ponce de gin,https://1ou2cocktails.com/cocktails/ponce-de-gin/,citron,citron
cocktail_3241,Spritz au Pineau des Charentes,https://1ou2cocktails.com/cocktails/spritz-au-pineau-des-charentes/,pineau,pineau très
cocktail_3241,Spritz au Pineau des Charentes,https://1ou2cocktails.com/cocktails/spritz-au-pineau-des-charentes/,vin,vin mousseux
cocktail_3220,Pineau Tonic,https://1ou2cocktails.com/cocktails/pineau-tonic/,pineau,pineau château ans
cocktail_3220,Pineau Tonic,https://1ou2cocktails.com/cocktails/pineau-tonic/,au,saumure
cocktail_3220,Pineau Tonic,https://1ou2cocktails.com/cocktails/pineau-tonic/,soda,soda
cocktail_3237,Negroni au Pineau des Charentes,https://1ou2cocktails.com/cocktails/negroni-au-pineau-des-charentes/,gin,gin
cocktail_3237,Negroni au Pineau des Charentes,https://1ou2cocktails.com/cocktails/negroni-au-pineau-des-charentes/,pineau,pineau des château réserve rouge
cocktail_3237,Negroni au Pineau des Charentes,https://1ou2cocktails.com/cocktails/negroni-au-pineau-des-charentes/,liqueur,liqueur amère
cocktail_1255,Bee's Knees 3 Lacs,https://1ou2cocktails.com/cocktails/bees-knees-3-lacs/,gin,gin citron et tournesol distillerie
cocktail_1255,Bee's Knees 3 Lacs,https://1ou2cocktails.com/cocktails/bees-knees-3-lacs/,jus,jus citron
cocktail_1255,Bee's Knees 3 Lacs,https://1ou2cocktails.com/cocktails/bees-knees-3-lacs/,jus,jus
cocktail_1255,Bee's Knees 3 Lacs,https://1ou2cocktails.com/cocktails/bees-knees-3-lacs/,mi,miel
cocktail_1255,Bee's Knees 3 Lacs,https://1ou2cocktails.com/cocktails/bees-knees-3-lacs/,poivre,poivre noir fraîchement
cocktail_3231,Sour à la cerise,https://1ou2cocktails.com/cocktails/sour-a-la-cerise/,pineau,pineau
cocktail_3231,Sour à la cerise,https://1ou2cocktails.com/cocktails/sour-a-la-cerise/,jus,jus
cocktail_3231,Sour à la cerise,https://1ou2cocktails.com/cocktails/sour-a-la-cerise/,au,au chocolat
cocktail_3231,Sour à la cerise,https://1ou2cocktails.com/cocktails/sour-a-la-cerise/,chocolat,chocolat noir
cocktail_1045,High &amp; Honey,https://1ou2cocktails.com/cocktails/high-honey/,jus,jus citron
cocktail_1039,Gingerbread Cocktail,https://1ou2cocktails.com/cocktails/gingerbread-cocktail/,jus,jus pomme
cocktail_1039,Gingerbread Cocktail,https://1ou2cocktails.com/cocktails/gingerbread-cocktail/,jus,jus citron
cocktail_1039,Gingerbread Cocktail,https://1ou2cocktails.com/cocktails/gingerbread-cocktail/,pincée,pincée cannelle
cocktail_1039,Gingerbread Cocktail,https://1ou2cocktails.com/cocktails/gingerbread-cocktail/,pincée,pincée gingembre
cocktail_1039,Gingerbread Cocktail,https://1ou2cocktails.com/cocktails/gingerbread-cocktail/,pincée,pincée
cocktail_1039,Gingerbread Cocktail,https://1ou2cocktails.com/cocktails/gingerbread-cocktail/,noix,noix
cocktail_1200,Sbagliato Bitter Sweet,https://1ou2cocktails.com/cocktails/sbagliato-bitter-sweet/,liqueur,liqueur amère amer
cocktail_1200,Sbagliato Bitter Sweet,https://1ou2cocktails.com/cocktails/sbagliato-bitter-sweet/,vermouth,vermouth ambré
cocktail_1200,Sbagliato Bitter Sweet,https://1ou2cocktails.com/cocktails/sbagliato-bitter-sweet/,vin,vin mousseux
cocktail_1033,Whisky Cherry,https://1ou2cocktails.com/cocktails/whisky-cherry/,whisky,whisky
cocktail_1033,Whisky Cherry,https://1ou2cocktails.com/cocktails/whisky-cherry/,jus,jus lime
cocktail_1033,Whisky Cherry,https://1ou2cocktails.com/cocktails/whisky-cherry/,jus,jus
cocktail_1033,Whisky Cherry,https://1ou2cocktails.com/cocktails/whisky-cherry/,sirop,sirop
cocktail_1033,Whisky Cherry,https://1ou2cocktails.com/cocktails/whisky-cherry/,eau,eau
cocktail_1260,Manhattan,https://1ou2cocktails.com/cocktails/manhatthan/,whisky,whisky
cocktail_1260,Manhattan,https://1ou2cocktails.com/cocktails/manhatthan/,vermouth,vermouth
cocktail_1260,Manhattan,https://1ou2cocktails.com/cocktails/manhatthan/,aromatique,aromatique
cocktail_1029,Martini,https://1ou2cocktails.com/cocktails/martini/,vermouth,vermouth
cocktail_1264,Thé glacé à la pêche,https://1ou2cocktails.com/cocktails/the-glace-a-la-peche/,whisky,whisky aromatisé la pêche royal
cocktail_1264,Thé glacé à la pêche,https://1ou2cocktails.com/cocktails/the-glace-a-la-peche/,whisky,whisky aromatisé la pêche royal
cocktail_1264,Thé glacé à la pêche,https://1ou2cocktails.com/cocktails/the-glace-a-la-peche/,thé,thé
cocktail_1024,Gin Melon et Poivre Rose,https://1ou2cocktails.com/cocktails/gin-melon-poivre-rose/,gin,gin
cocktail_1024,Gin Melon et Poivre Rose,https://1ou2cocktails.com/cocktails/gin-melon-poivre-rose/,gin,gin
cocktail_1024,Gin Melon et Poivre Rose,https://1ou2cocktails.com/cocktails/gin-melon-poivre-rose/,jus,jus lime
cocktail_1024,Gin Melon et Poivre Rose,https://1ou2cocktails.com/cocktails/gin-melon-poivre-rose/,sirop,sirop
cocktail_1024,Gin Melon et Poivre Rose,https://1ou2cocktails.com/cocktails/gin-melon-poivre-rose/,cubes,cubes melon
cocktail_1024,Gin Melon et Poivre Rose,https://1ou2cocktails.com/cocktails/gin-melon-poivre-rose/,poivre,poivre
cocktail_1024,Gin Melon et Poivre Rose,https://1ou2cocktails.com/cocktails/gin-melon-poivre-rose/,grains,grains poivre rose
cocktail_1024,Gin Melon et Poivre Rose,https://1ou2cocktails.com/cocktails/gin-melon-poivre-rose/,grains,grains poivre rose
cocktail_1269,Aviation,https://1ou2cocktails.com/cocktails/aviation/,liqueur,liqueur cerise marasquin
cocktail_1269,Aviation,https://1ou2cocktails.com/cocktails/aviation/,crème,crème
cocktail_1269,Aviation,https://1ou2cocktails.com/cocktails/aviation/,jus,jus citron
cocktail_1275,Whisky Sour,https://1ou2cocktails.com/cocktails/whisky-sour/,whisky,whisky
cocktail_1275,Whisky Sour,https://1ou2cocktails.com/cocktails/whisky-sour/,jus,jus citron
cocktail_1275,Whisky Sour,https://1ou2cocktails.com/cocktails/whisky-sour/,sirop,sirop
cocktail_1275,Whisky Sour,https://1ou2cocktails.com/cocktails/whisky-sour/,aromatique,aromatique
cocktail_1279,Moscow Mule à la Grenade,https://1ou2cocktails.com/cocktails/moscow-mule-a-la-grenade/,vodka,vodka
cocktail_1279,Moscow Mule à la Grenade,https://1ou2cocktails.com/cocktails/moscow-mule-a-la-grenade/,jus,jus grena pur du
cocktail_1279,Moscow Mule à la Grenade,https://1ou2cocktails.com/cocktails/moscow-mule-a-la-grenade/,jus,jus lime
cocktail_1279,Moscow Mule à la Grenade,https://1ou2cocktails.com/cocktails/moscow-mule-a-la-grenade/,bière,bière
cocktail_1279,Moscow Mule à la Grenade,https://1ou2cocktails.com/cocktails/moscow-mule-a-la-grenade/,arilles graines,arilles graines
cocktail_1018,Vodka Cantaloup &amp; Prosecco,https://1ou2cocktails.com/cocktails/vodka-cantaloup-prosecco/,jus,jus lime
cocktail_1018,Vodka Cantaloup &amp; Prosecco,https://1ou2cocktails.com/cocktails/vodka-cantaloup-prosecco/,sirop,sirop
cocktail_1018,Vodka Cantaloup &amp; Prosecco,https://1ou2cocktails.com/cocktails/vodka-cantaloup-prosecco/,vin,vin mousseux
cocktail_1013,Tropikante rhum &amp; melon d'eau,https://1ou2cocktails.com/cocktails/tropikante-rhum-melon-deau/,rhum,rhum
cocktail_1013,Tropikante rhum &amp; melon d'eau,https://1ou2cocktails.com/cocktails/tropikante-rhum-melon-deau/,jus,jus melon
cocktail_1013,Tropikante rhum &amp; melon d'eau,https://1ou2cocktails.com/cocktails/tropikante-rhum-melon-deau/,jus,jus lime
cocktail_1013,Tropikante rhum &amp; melon d'eau,https://1ou2cocktails.com/cocktails/tropikante-rhum-melon-deau/,sirop,sirop
cocktail_1013,Tropikante rhum &amp; melon d'eau,https://1ou2cocktails.com/cocktails/tropikante-rhum-melon-deau/,aromatique,aromatique
cocktail_1013,Tropikante rhum &amp; melon d'eau,https://1ou2cocktails.com/cocktails/tropikante-rhum-melon-deau/,piment,piment oiseau
cocktail_1443,Mai Tai,https://1ou2cocktails.com/cocktails/mai-tai/,rhum,rhum
cocktail_1443,Mai Tai,https://1ou2cocktails.com/cocktails/mai-tai/,liqueur,liqueur
cocktail_1443,Mai Tai,https://1ou2cocktails.com/cocktails/mai-tai/,jus,jus lime
