objectID,post_title,url,ingredient,label,quantity,type,section,label_zone,label_qte,label_unite,label_unite_gr,section_zone,section_qte,section_unite,aliment,kcal_100gr,quantity_gr,quantity_kcal,label_qte_gr,proteine_100gr,glucides_100gr,calcium_100gr,quantity_calcium
cocktail_85,El Grito,https://1ou2cocktails.com/cocktails/el-grito/,,"<p>Garniture : 1 feuille de sauge</p>
",,ingredient,,1 feuille,4,feuille,5,,1,,,,20,,20,,,,
cocktail_384,Le Rapala,https://1ou2cocktails.com/cocktails/le-rapala/,"<p>de rhum épicé, Chic Choc</p>
",,2,ingredient,,,,,,,1,,Rhum,256,"56,7",,,0,0,0,0
cocktail_384,Le Rapala,https://1ou2cocktails.com/cocktails/le-rapala/,"<p>de jus de pomme brut</p>
",,1,ingredient,,,,,,,1,,"Jus de pomme, pur jus","48,9","28,35",,,"0,17","11,4","4,32","1,22"
cocktail_384,Le Rapala,https://1ou2cocktails.com/cocktails/le-rapala/,"<p>de jus de citron frais</p>
",,"0,75",ingredient,,,,,,,1,,"Citron, pulpe, cru","27,6","21,26",,,,"1,56",11,"2,34"
cocktail_384,Le Rapala,https://1ou2cocktails.com/cocktails/le-rapala/,"<p>de sirop simple</p>
",,"0,5",ingredient,,,,,,,1,,"Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau",,"14,17",,,"0,055","7,7","7,55","1,07"
cocktail_384,Le Rapala,https://1ou2cocktails.com/cocktails/le-rapala/,,"<p>Garniture : 1 rondelle de pomme</p>
",,ingredient,,1 rondelle,"0,05",pomme,200,,1,,,,10,,10,,,,
cocktail_388,Le Chambly,https://1ou2cocktails.com/?post_type=cocktail&p=388,,,,ingredient,,,,,,,1,,,,,,,,,,
cocktail_388,Le Chambly,https://1ou2cocktails.com/?post_type=cocktail&p=388,,,,ingredient,,,,,,,1,,,,,,,,,,
cocktail_388,Le Chambly,https://1ou2cocktails.com/?post_type=cocktail&p=388,,,,ingredient,,,,,,,1,,,,,,,,,,
cocktail_388,Le Chambly,https://1ou2cocktails.com/?post_type=cocktail&p=388,,,,ingredient,,,,,,,1,,,,,,,,,,
cocktail_388,Le Chambly,https://1ou2cocktails.com/?post_type=cocktail&p=388,,,,ingredient,,,,,,,1,,,,,,,,,,
cocktail_395,L'incognito,https://1ou2cocktails.com/cocktails/incognito/,"<p>de vodka, Quartz</p>
",,1,section,Pour 1 verre,,,,,1 verre,1,verre,Vodka,242,"28,35",,,0,0,0,0
cocktail_395,L'incognito,https://1ou2cocktails.com/cocktails/incognito/,"<p>de vodka, Quartz</p>
",,1,ingredient,,,,,,,1,,Vodka,242,"28,35",,,0,0,0,0
cocktail_395,L'incognito,https://1ou2cocktails.com/cocktails/incognito/,"<p>de jus de citron frais</p>
",,"0,75",ingredient,,,,,,,1,,"Citron, pulpe, cru","27,6","21,26",,,,"1,56",11,"2,34"
cocktail_395,L'incognito,https://1ou2cocktails.com/cocktails/incognito/,"<p>de sirop simple</p>
",,"0,5",ingredient,,,,,,,1,,"Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau",,"14,17",,,"0,055","7,7","7,55","1,07"
cocktail_395,L'incognito,https://1ou2cocktails.com/cocktails/incognito/,"<p>de thé vert à la menthe, infusé et refroidi</p>
",,3,ingredient,,,,,,,1,,"Menthe, fraîche","57,6","85,05",,,"3,52","5,3",221,"187,96"
cocktail_395,L'incognito,https://1ou2cocktails.com/cocktails/incognito/,,"<p>Garniture : 1 tête de menthe</p>
",,section,Garnitures,1 tête,1,tête,5,,1,,,,5,,5,,,,
cocktail_395,L'incognito,https://1ou2cocktails.com/cocktails/incognito/,,"<p>1 tête de menthe</p>
",,ingredient,,1 tête,1,tête,5,,1,,,,5,,5,,,,
cocktail_395,L'incognito,https://1ou2cocktails.com/cocktails/incognito/,,"<p>1 rondelle de citron</p>
",,ingredient,,1 rondelle,"0,05",rondelle,2,,1,,,,"0,1",,"0,1",,,,
cocktail_399,Café des Bois,https://1ou2cocktails.com/cocktails/cafe-des-bois/,"<p>de whisky à lérable, Coureur des bois</p>
",,1,ingredient,,,,,,,1,,Sirop d'érable,,"28,35",,,"0,04","67,1",106,"30,05"
cocktail_399,Café des Bois,https://1ou2cocktails.com/cocktails/cafe-des-bois/,"<p>de café chaud</p>
",,5,ingredient,,,,,,,1,,"Café, non instantané, non sucré, prêt à boire","6,88","141,75",,,,"1,35","4,3","6,1"
cocktail_399,Café des Bois,https://1ou2cocktails.com/cocktails/cafe-des-bois/,"<p>Mousse de lait </p>
",,,ingredient,,,,,,,1,,"Lait, teneur en matière grasse inconnue, UHT (aliment moyen)","47,3",,,,"3,38","4,82",117,
cocktail_399,Café des Bois,https://1ou2cocktails.com/cocktails/cafe-des-bois/,"<p>1 bâton de cannelle</p>
",,,ingredient,,,,,,,1,,"Cannelle, poudre",243,,,,"3,87","27,5",1000,
cocktail_399,Café des Bois,https://1ou2cocktails.com/cocktails/cafe-des-bois/,,"<p>Garniture : Flocons dérable (pour givrer)</p>
",,ingredient,,,,,,,1,,,,,,,,,,
cocktail_399,Café des Bois,https://1ou2cocktails.com/cocktails/cafe-des-bois/,,"<p>Garniture : 1 guimauve grillée</p>
",,ingredient,,1 guimauve,6,guimauve,30,,1,,,,180,,180,,,,
cocktail_404,Le Zen,https://1ou2cocktails.com/cocktails/le-zen/,"<p>de gin</p>
",,"1,5",ingredient,,,,,,,1,,Gin,265,"42,52",,,0,0,0,0
cocktail_404,Le Zen,https://1ou2cocktails.com/cocktails/le-zen/,"<p>de jus de lime frais</p>
",,1,ingredient,,,,,,,1,,"Jus de citron vert, pur jus",,"28,35",,,"0,25","1,24",12,"3,4"
cocktail_404,Le Zen,https://1ou2cocktails.com/cocktails/le-zen/,"<p>de sirop simple</p>
",,"0,75",ingredient,,,,,,,1,,"Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau",,"21,26",,,"0,055","7,7","7,55","1,61"
cocktail_404,Le Zen,https://1ou2cocktails.com/cocktails/le-zen/,"<p>Eau pétillante</p>
",,,ingredient,,,,,,,1,,,,,,,,,,
cocktail_404,Le Zen,https://1ou2cocktails.com/cocktails/le-zen/,,"<p>Garniture : Branche de sapin</p>
",,ingredient,,,,,,,1,,,,,,,,,,
cocktail_409,La Brochette Infernale,https://1ou2cocktails.com/cocktails/la-brochette-infernale/,"<p>de whisky, bourbon</p>
",,"0,75",section,Pour 1 verre,,,,,1 verre,1,verre,Whisky,252,"21,26",,,0,"0,096",0,0
cocktail_409,La Brochette Infernale,https://1ou2cocktails.com/cocktails/la-brochette-infernale/,"<p>de whisky, bourbon</p>
",,"0,75",ingredient,,,,,,,1,,Whisky,252,"21,26",,,0,"0,096",0,0
cocktail_409,La Brochette Infernale,https://1ou2cocktails.com/cocktails/la-brochette-infernale/,"<p>de jus de tomate et palourde, Clamato</p>
",,"0,75",ingredient,,,,,,,1,,"Jus de tomate, pur jus (aliment moyen)","21,7","21,26",,,"0,88","3,72","6,54","1,39"
cocktail_409,La Brochette Infernale,https://1ou2cocktails.com/cocktails/la-brochette-infernale/,"<p>de jus de citron frais</p>
",,"0,5",ingredient,,,,,,,1,,"Citron, pulpe, cru","27,6","14,17",,,,"1,56",11,"1,56"
cocktail_409,La Brochette Infernale,https://1ou2cocktails.com/cocktails/la-brochette-infernale/,,"<p>2 traits de sauce piquante, Tabasco</p>
",,ingredient,,2 trait,2,trait,1,,1,,,,2,,2,,,,
cocktail_409,La Brochette Infernale,https://1ou2cocktails.com/cocktails/la-brochette-infernale/,,"<p>Garniture : 1 cube de viande grillée</p>
",,section,Ganitures,1 cube de viande grillée,1,cube,10,,1,,,,10,,10,,,,
cocktail_409,La Brochette Infernale,https://1ou2cocktails.com/cocktails/la-brochette-infernale/,,"<p>Épices à steak (pour givrer)</p>
",,ingredient,,,,,,,1,,,,,,,,,,
cocktail_409,La Brochette Infernale,https://1ou2cocktails.com/cocktails/la-brochette-infernale/,,"<p>1 cube de viande grillée</p>
",,ingredient,,1 cube de viande grillée,1,cube,10,,1,,,,10,,10,,,,
cocktail_414,Sangria-Nanas,https://1ou2cocktails.com/cocktails/sangria-nanas/,"<p>(3 tasses) de vin blanc</p>
",,24,section,Pour 4 à 6 verres,,,,,4 à 6 verres,4,verre,"Oeuf, blanc (blanc d'oeuf), cru","48,1","170,0975",,,"10,8","0,85",6,"10,21"
