           objectID                                                     post_title                                                                                                 url  quantity_kcal_total
745   cocktail_4527                                   Mocktail Vitaminé à l'Orange                                    https://1ou2cocktails.com/cocktails/mocktail-vitamine-a-lorange/               168.19
753   cocktail_4523                                   Tom Collins au Concombre S/A                                   https://1ou2cocktails.com/cocktails/tom-collins-au-concombre-s-a/               112.68
761   cocktail_4520                                                   Abricot Bene                                                   https://1ou2cocktails.com/cocktails/abricot-bene/               147.29
767   cocktail_4504                                            Kir Royal du Verger                                            https://1ou2cocktails.com/cocktails/kir-royal-du-verger/                69.46
772   cocktail_4497                                        Peachy Espresso Martini                                        https://1ou2cocktails.com/cocktails/peachy-espresso-martini/                24.71
779   cocktail_4478                                 Tisane St-Germain et Camomille                                 https://1ou2cocktails.com/cocktails/tisane-st-germain-et-camomille/                92.99
787   cocktail_4469                                               Reese's Cocktail                                                https://1ou2cocktails.com/cocktails/reeses-cocktail/                75.81
795   cocktail_4462                          Rhum Trinidad Sour et Orange Sanguine                          https://1ou2cocktails.com/cocktails/rhum-trinidad-sour-et-orange-sanguine/               158.02
803   cocktail_4429                                    Spritz Aronia et Clémentine                                    https://1ou2cocktails.com/cocktails/spritz-aronia-et-clementine/               214.60
812   cocktail_4430                                    Punch des Fêtes Sans Alcool                                    https://1ou2cocktails.com/cocktails/punch-des-fetes-sans-alcool/               100.17
820   cocktail_4417                                     Whisky Sour à la Poire S/A                             https://1ou2cocktails.com/cocktails/whisky-sour-a-la-poire-sans-alcool/               148.75
828   cocktail_4411                             Cocktail Festif Gin et Canneberges                             https://1ou2cocktails.com/cocktails/cocktail-festif-gin-et-canneberges/               132.62
836   cocktail_4388                                       Sour Gingembre et Ananas                                       https://1ou2cocktails.com/cocktails/sour-gingembre-et-ananas/               143.52
845   cocktail_4361                                            Caffè Al Limoncello                                            https://1ou2cocktails.com/cocktails/caffe-al-limoncello/               179.82
851   cocktail_4355                                  Cocktail Effervescent de Noël                                  https://1ou2cocktails.com/cocktails/cocktail-effervescent-de-noel/               139.47
860   cocktail_4293                              Bourbon Smash Pêche et Prosciutto                                 https://1ou2cocktails.com/cocktails/bourbon-smash-peche-et-romarin/               176.88
870   cocktail_4349                                           Gin Fizz aux Bleuets                                           https://1ou2cocktails.com/cocktails/gin-fizz-aux-bleuets/               132.77
878   cocktail_4345                                                  Amaretto Flip                                                  https://1ou2cocktails.com/cocktails/amaretto-flip/               221.84
885   cocktail_4339                                           Scotch Old Fashioned                                           https://1ou2cocktails.com/cocktails/scotch-old-fashioned/               142.88
892   cocktail_4314                                       Tom Collins à l'Épinette                                        https://1ou2cocktails.com/cocktails/tom-collins-a-lepinette/               120.50
899   cocktail_4330                                                   Tuxedo Dress                                                   https://1ou2cocktails.com/cocktails/tuxedo-dress/               173.52
908   cocktail_4321                                              Holiday French 75                                              https://1ou2cocktails.com/cocktails/holiday-french-75/               120.50
915   cocktail_4288                                                     White Lady                                                     https://1ou2cocktails.com/cocktails/white-lady/               188.28
923   cocktail_4271                                              Chai Whisky Chaud                                              https://1ou2cocktails.com/cocktails/chai-whisky-chaud/                66.48
935   cocktail_4266                            Tequila Highball et Fleur de Sureau                            https://1ou2cocktails.com/cocktails/tequila-highball-et-fleur-de-sureau/               130.54
941   cocktail_4259                                            Vermouth Soda Ambré                                            https://1ou2cocktails.com/cocktails/vermouth-soda-ambre/                69.73
947   cocktail_4252                               Mocktail Pamplemousse et Gin S/A                                  https://1ou2cocktails.com/cocktails/mocktail-gin-pamplemousse-s-a/               126.32
955   cocktail_4234                                             Gin Fizz Subversif                                             https://1ou2cocktails.com/cocktails/gin-fizz-subversif/               139.20
964   cocktail_4225                                            Mimosa Vent du Nord                                            https://1ou2cocktails.com/cocktails/mimosa-vent-du-nord/               195.28
974   cocktail_4130                                             Sour de Charlevoix                                             https://1ou2cocktails.com/cocktails/sour-de-charlevoix/               156.38
982   cocktail_4216                                            Daiquiri à l'Acerum                                             https://1ou2cocktails.com/cocktails/daiquiri-a-lacerum/               129.84
988   cocktail_4202                                         Summer Manhattan Cirka                                         https://1ou2cocktails.com/cocktails/summer-manhattan-cirka/               146.57
996   cocktail_4203                                                Sirop de fraise                                                https://1ou2cocktails.com/cocktails/sirop-de-fraise/                65.66
1000  cocktail_4187                      Gin Tonic à la rhubarbe (Recette Secrète)                        https://1ou2cocktails.com/cocktails/gin-tonic-a-la-rhubarbe-recette-secrete/               144.86
1009  cocktail_4150                                        Espresso Martini Menaud                                        https://1ou2cocktails.com/cocktails/espresso-martini-menaud/                69.58
1016  cocktail_4159                                                  Sirop de Café                                                  https://1ou2cocktails.com/cocktails/sirop-de-cafe/                15.60
1019  cocktail_4147                                               Sirop de lavande                                               https://1ou2cocktails.com/cocktails/sirop-de-lavande/                 0.00
1024  cocktail_4138                                               Collins du Fjord                                               https://1ou2cocktails.com/cocktails/collins-du-fjord/               206.15
1032  cocktail_4062                                    Margarita à la noix de coco                                    https://1ou2cocktails.com/cocktails/margarita-a-la-noix-de-coco/               161.58
1039  cocktail_4051                            Sangria Blanche au Cassis (De Luxe)                              https://1ou2cocktails.com/cocktails/sangria-blanche-au-cassis-de-luxe/               143.83
1051  cocktail_4045                                 Spritz Sans Alcool à la Fraise                                 https://1ou2cocktails.com/cocktails/spritz-sans-alcool-a-la-fraise/               185.98
1058  cocktail_4006                               Limonade Vodka Pomme et Hibiscus                               https://1ou2cocktails.com/cocktails/limonade-vodka-pomme-et-hibiscus/               123.69
1066  cocktail_3988                                         Mimosa gin et kombucha                                         https://1ou2cocktails.com/cocktails/mimosa-gin-et-kombucha/               131.98
1070  cocktail_3982                                        Slush Gin et Limoncello                                        https://1ou2cocktails.com/cocktails/slush-gin-et-limoncello/               154.28
1078  cocktail_3961                                          Mocktail Licorne Rose                                          https://1ou2cocktails.com/cocktails/mocktail-licorne-rose/                93.48
1085  cocktail_3913                                          Sangria au Vin Orange                                          https://1ou2cocktails.com/cocktails/sangria-au-vin-orange/                69.76
1095  cocktail_3905                                             Sirop de Framboise                                             https://1ou2cocktails.com/cocktails/sirop-de-framboise/                 0.00
1099  cocktail_3901                                                         Enzoni                                                         https://1ou2cocktails.com/cocktails/enzoni/                81.00
1107  cocktail_3868                                                    Bee's Knees                                                     https://1ou2cocktails.com/cocktails/bees-knees/               159.36
1114  cocktail_3849                                          Sour Lime et Cannelle                                          https://1ou2cocktails.com/cocktails/sour-lime-et-cannelle/               191.14
1121  cocktail_3843                                            Gin Tonic Marmelade                                            https://1ou2cocktails.com/cocktails/gin-tonic-marmelade/               158.08
1128  cocktail_3193                                              Sirop de Cannelle                                              https://1ou2cocktails.com/cocktails/sirop-de-cannelle/               109.09
1132  cocktail_3119                                              Saison des Sucres                                              https://1ou2cocktails.com/cocktails/saison-des-sucres/                 0.00
1140  cocktail_2782                                   Mocktail gingembre et litchi                                   https://1ou2cocktails.com/cocktails/mocktail-gingembre-et-litchi/               118.55
1146  cocktail_2773                                 Sour bleuet et gin sans alcool                                 https://1ou2cocktails.com/cocktails/sour-bleuet-et-gin-sans-alcool/               111.76
1153  cocktail_2764                                     Café Sambuca et Cremaglace                                     https://1ou2cocktails.com/cocktails/cafe-sambuca-et-cremaglace/               107.64
1160  cocktail_1559                                                      Sbagliato                                                      https://1ou2cocktails.com/cocktails/sbagliato/                 0.00
1166  cocktail_1555                                                      Garibaldi                                                      https://1ou2cocktails.com/cocktails/garibaldi/               102.96
1171  cocktail_1551                                            Jamaican Santa Mule                                            https://1ou2cocktails.com/cocktails/jamaican-santa-mule/               231.56
1178  cocktail_1546                                               Daiquiri de Noël                                               https://1ou2cocktails.com/cocktails/daiquiri-de-noel/               122.15
1183  cocktail_1543                                                 Sirop de Datte                                                 https://1ou2cocktails.com/cocktails/sirop-de-datte/                 0.00
1187  cocktail_1539                                                      Americano                                                      https://1ou2cocktails.com/cocktails/americano/                 0.00
1193  cocktail_4378                                             Tiki Punch de Noël                                             https://1ou2cocktails.com/cocktails/tiki-punch-de-noel/                32.20
1204  cocktail_1535                                                         Paloma                                                         https://1ou2cocktails.com/cocktails/paloma/               300.52
1213  cocktail_1528                                            Ginto au Limoncello                                            https://1ou2cocktails.com/cocktails/ginto-au-limoncello/               271.84
1221  cocktail_1524                                                   Cosmopolitan                                                   https://1ou2cocktails.com/cocktails/cosmopolitan/                82.14
1228  cocktail_1520                                                    Clover Club                                                    https://1ou2cocktails.com/cocktails/clover-club/               304.43
1235  cocktail_1515                                             Rhum Old Fashioned                                             https://1ou2cocktails.com/cocktails/rhum-old-fashioned/               290.30
1241  cocktail_1509                                              Martini au Litchi                                              https://1ou2cocktails.com/cocktails/martini-au-litchi/               343.86
1248  cocktail_1479                                                London Mule IPA                                                https://1ou2cocktails.com/cocktails/london-mule-ipa/               150.26
1256  cocktail_1492                                                  Gin d'Automne                               https://1ou2cocktails.com/cocktails/gin-dautomne-canneberge-et-cidre/               196.74
1264  cocktail_1474                                          Cocktail KM12 et Lily                                  https://1ou2cocktails.com/cocktails/cocktail-km12-et-liqueur-lily/               150.26
1272  cocktail_1500                                               Espresso Martini                                               https://1ou2cocktails.com/cocktails/espresso-martini/               104.36
1279  cocktail_1466                                                  Arnold Palmer                                                  https://1ou2cocktails.com/cocktails/arnold-palmer/                 3.93
1285  cocktail_1460                                         Mocktail Matcha & Yuzu                                        https://1ou2cocktails.com/cocktails/mocktail-matcha-et-yuzu/                 0.03
1293  cocktail_1456                                                Gin Basil Smash                                                https://1ou2cocktails.com/cocktails/gin-basil-smash/               156.13
1300  cocktail_1442                                                Planter's Punch                                                 https://1ou2cocktails.com/cocktails/planters-punch/               145.15
1309  cocktail_1436                                          Martini Gin & Fraises                                         https://1ou2cocktails.com/cocktails/martini-gin-et-fraises/               225.36
1318  cocktail_1435                                                      Hurricane                                                      https://1ou2cocktails.com/cocktails/hurricane/               220.35
1327  cocktail_1418                                                  Blue Hawaïïan                                                  https://1ou2cocktails.com/cocktails/blue-hawaiian/               163.81
1335  cocktail_1414                                            Sangria à la fraise                                            https://1ou2cocktails.com/cocktails/sangria-a-la-fraise/               175.74
1343  cocktail_1400                                       Paloma Lavande et Sureau                                       https://1ou2cocktails.com/cocktails/paloma-lavande-et-sureau/               162.70
1351  cocktail_1408                                                Margarita Melon                                                https://1ou2cocktails.com/cocktails/margarita-melon/               243.25
1358  cocktail_1396                                                         Zombie                                                         https://1ou2cocktails.com/cocktails/zombie/               217.70
1370  cocktail_1391                                                  Sirop de Miel                                                  https://1ou2cocktails.com/cocktails/sirop-de-miel/                 0.00
1373  cocktail_1381                                  Margarita Mexicano-Québécoise                                  https://1ou2cocktails.com/cocktails/margarita-mexicano-quebecoise/               150.26
1381  cocktail_1377                                                    Piña Colada                                                    https://1ou2cocktails.com/cocktails/pina-colada/                73.54
1389  cocktail_1430                                                    Jungle Bird                                                    https://1ou2cocktails.com/cocktails/jungle-bird/               131.98
1398  cocktail_1370                              Café Coldbrew au Sucre à la Crème                              https://1ou2cocktails.com/cocktails/cafe-coldbrew-au-sucre-a-la-creme/               100.26
1404  cocktail_1356                                 Agua Fresca Hibiscus et Orange                                 https://1ou2cocktails.com/cocktails/agua-fresca-hibiscus-et-orange/                 0.00
1410  cocktail_1320                                   Michelada à la mangue épicée                                   https://1ou2cocktails.com/cocktails/michelada-a-la-mangue-epicee/                 0.00
1418  cocktail_1311                                                  Green Goddess                                                  https://1ou2cocktails.com/cocktails/green-goddess/               165.86
1428  cocktail_1304                                       Spritz Framboise Passion                                       https://1ou2cocktails.com/cocktails/spritz-framboise-passion/                51.86
1435  cocktail_1298                                                      French 75                                                      https://1ou2cocktails.com/cocktails/french-75/                79.04
1441  cocktail_1292                                          Madeleine aux fraises                                          https://1ou2cocktails.com/cocktails/madeleine-aux-fraises/                 5.87
1451  cocktail_1207                             Romeo's X Pamplemousse et Hibiscus                              https://1ou2cocktails.com/cocktails/romeos-x-pamplemousse-et-hibiscus/               112.68
1459  cocktail_1116                                            Mommy's Screwdriver                                             https://1ou2cocktails.com/cocktails/mommys-screwdriver/               185.98
1466  cocktail_1104                                              Blood Orange Mary                                     https://1ou2cocktails.com/cocktails/blood-orange-mary-mocktail/                21.81
1473  cocktail_1096                                  Old Fashioned Fumé à l'Érable                        https://1ou2cocktails.com/cocktails/old-fashioned-fume-au-rhum-et-a-lerable/               145.15
1480  cocktail_1107                                               Sex On The Beach                                               https://1ou2cocktails.com/cocktails/sex-on-the-beach/               242.31
1489  cocktail_1099                                                    Blue Lagoon                                                    https://1ou2cocktails.com/cocktails/blue-lagoon/               236.73
1497  cocktail_1091                                                     Miami Vice                                                     https://1ou2cocktails.com/cocktails/miami-vice/               164.71
1505  cocktail_1214                                                    Purple Rain                                                    https://1ou2cocktails.com/cocktails/purple-rain/               142.25
