objectID,post_title,url,quantity_kcal_total,quantity_proteine_total,quantity_eau_total,quantity_calcium_total,quantity_magnésium_total,quantity_manganèse_total,quantity_potassium_total,quantity_sodium_total,quantity_vitamine B6_total,quantity_vitamine C_total,quantity_vitamine D_total,quantity_vitamine E_total
cocktail_5525,Sour Di Rosa,https://1ou2cocktails.com/cocktails/sour-di-rosa/,198.1,0.22,56.97,4.24,7.24,0.52,72.15,6.25,0.04,5.95,0.0,0.01
cocktail_5514,Sangria Cosmopolitaine (pichet),https://1ou2cocktails.com/cocktails/sangria-cosmopolitaine-pichet/,116.9,0.2,113.17,8.23,10.97,0.66,116.05,4.76,0.05,6.94,0.0,0.01
cocktail_5520,Sangria Cosmopolitaine (au verre),https://1ou2cocktails.com/cocktails/sangria-cosmopolitaine-verre/,116.9,0.2,113.16,8.23,10.97,0.66,116.06,4.76,0.05,6.94,0.0,0.01
cocktail_5508,Margarita Al Limoncello,https://1ou2cocktails.com/cocktails/margarita-al-limoncello/,192.24,0.11,48.66,2.31,3.7,0.26,37.28,4.18,0.02,2.98,0.0,0.0
cocktail_5500,Espresso Martini No.900,https://1ou2cocktails.com/cocktails/espresso-martini-no-900/,106.31,0.0,76.37,2.13,4.57,0.04,74.94,1.77,0.37,0.0,0.0,0.0
cocktail_5492,Whisky Sour au Gingembre,https://1ou2cocktails.com/cocktails/whisky-sour-au-gingembre/,176.36,0.12,59.34,2.86,4.12,0.35,42.03,2.91,0.03,3.97,0.0,0.01
cocktail_5470,Gimlet,https://1ou2cocktails.com/cocktails/gimlet/,219.47,0.12,67.38,2.86,4.12,0.35,41.6,4.04,0.03,3.97,0.0,0.01
cocktail_5465,Penicillin (version simplifiée),https://1ou2cocktails.com/cocktails/penicillin-version-simplifiee/,172.61,0.09,55.51000000000001,9.809999999999999,4.640000000000001,0.45,48.06,3.02,0.02,2.98,0.0,0.0
cocktail_5457,New York Sour,https://1ou2cocktails.com/cocktails/new-york-sour/,212.09,0.12,80.84,3.87,5.15,0.36,54.12,3.26,0.03,3.97,0.0,0.01
cocktail_5452,Spritz Framboise Basilic,https://1ou2cocktails.com/cocktails/spritz-framboise-basilic/,129.12,0.03,15.22,0.66,1.02,0.01,10.92,3.02,0.0,0.0,0.0,0.0
cocktail_5447,Sirop de Citronnelle,https://1ou2cocktails.com/cocktails/sirop-de-citronnelle/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cocktail_5442,Mocktail Exotique Citronnelle et Hibiscus,https://1ou2cocktails.com/cocktails/mocktail-exotique-citronnelle-et-hibiscus/,88.03,0.12,119.52,4.76,5.05,0.39,50.46,4.24,0.03,3.97,0.0,0.01
cocktail_5434,White Negroni,https://1ou2cocktails.com/cocktails/white-negroni/,168.12,0.03,52.59,2.29,2.92,0.04,32.41,3.34,0.0,0.0,0.0,0.0
cocktail_5429,Vin Chaud Scandinave,https://1ou2cocktails.com/cocktails/vin-chaud-scandinave/,90.13,0.12,203.87,15.37,17.31,0.51,193.33,6.65,0.03,3.97,0.0,0.01
cocktail_5406,Shooter Épicé Piment et Sureau,https://1ou2cocktails.com/cocktails/shooter-epice-piment-et-sureau/,115.09,0.01,23.61,0.14,0.43,0.01,4.6,1.31,0.0,0.0,0.0,0.0
cocktail_5400,Lait de Poule Québécois,https://1ou2cocktails.com/cocktails/lait-de-poule-quebecois/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cocktail_5391,Punch de Noël Gin & Pomme,https://1ou2cocktails.com/cocktails/punch-de-noel-gin-pomme/,342.3,0.3,244.87,15.87,19.59,1.02,210.25,10.26,0.08,10.58,0.0,0.02
cocktail_5361,Sour Gin et Raisin Vert,https://1ou2cocktails.com/cocktails/sour-gin-et-raisin-vert/,181.89,0.12,58.57,2.86,4.12,0.35,41.6,3.76,0.03,3.97,0.0,0.01
cocktail_5349,Breakfast Daiquiri,https://1ou2cocktails.com/cocktails/breakfast-daiquiri/,184.66,0.09999999999999999,52.96,2.05,3.41,0.27,34.8,3.05,0.02,2.98,0.0,0.0
cocktail_5333,Sangria Aperitivo,https://1ou2cocktails.com/cocktails/sangria-aperitivo/,84.73,0.14,69.37,5.52,7.6,0.38,80.21000000000001,4.07,0.03,3.97,0.0,0.01
cocktail_5327,Italian Mule,https://1ou2cocktails.com/cocktails/italian-mule/,134.56,0.11,39.51000000000001,1.93,3.53,0.26,35.08,2.65,0.02,2.98,0.0,0.0
cocktail_5321,Atoca Spritz,https://1ou2cocktails.com/cocktails/atoca-spritz/,126.07,0.15,37.13,2.76,4.8,0.35,47.71,4.01,0.03,3.97,0.0,0.01
cocktail_5316,Collins Gingembre et Citronnelle,https://1ou2cocktails.com/cocktails/collins-gingembre-et-citronnelle/,160.06,0.09,49.88,2.1,3.06,0.26,30.9,2.92,0.02,2.98,0.0,0.0
cocktail_5305,Nuage de Litchi,https://1ou2cocktails.com/cocktails/nuage-de-litchi/,172.11,0.12,60.02,2.86,4.12,0.36,42.13,3.34,0.03,3.97,0.0,0.01
cocktail_5278,Last Word,https://1ou2cocktails.com/cocktails/last-word/,225.84,0.13,51.1,2.14,4.17,0.26,41.25,4.76,0.02,2.98,0.0,0.0
cocktail_5271,Pisco Sour à l'Abricot,https://1ou2cocktails.com/cocktails/pisco-sour-a-labricot/,212.69,3.18,95.05,4.84,7.24,0.35,88.38,50.54,0.03,3.97,0.0,0.01
cocktail_5267,Amaretto Sour Pomme & Cannelle,https://1ou2cocktails.com/cocktails/amaretto-sour-pomme-cannelle/,174.87,0.24,64.28,4.48,7.69,0.6100000000000001,76.2,5.4,0.05,6.95,0.0,0.01
cocktail_5256,White Russian,https://1ou2cocktails.com/cocktails/white-russian/,176.58,1.05,85.68,33.82,5.449999999999999,0.04,81.22,20.19,0.23,0.06,0.03,0.03
cocktail_5224,Bulles d'Automne Pomme & Épices,https://1ou2cocktails.com/cocktails/bulles-dautomne-pomme-epices/,77.37,0.32,72.41,6.68,10.77,0.9400000000000001,106.88,5.02,0.08,10.92,0.0,0.01
cocktail_5218,Shooter Zubrowka & Jus de Pomme,https://1ou2cocktails.com/cocktails/shooter-zubrowka-et-jus-de-pomme/,148.47,0.09,55.49,1.72,2.89,0.28,29.19,1.67,0.02,2.98,0.0,0.0
cocktail_5207,Naked & Famous,https://1ou2cocktails.com/cocktails/naked-famous/,207.05,0.13,46.69,2.14,4.17,0.26,41.25,4.62,0.02,2.98,0.0,0.0
cocktail_5199,Sour à l'orange épicé,https://1ou2cocktails.com/cocktails/sour-a-lorange-epice/,227.71,3.2,82.17,4.76,7.88,0.35,94.18,52.09,0.02,3.96,0.0,0.0
cocktail_5192,Limonade au Limoncello,https://1ou2cocktails.com/cocktails/limonade-au-limoncello/,189.47,0.14,55.74,2.88,4.67,0.35,47.13,4.25,0.03,3.97,0.0,0.01
cocktail_5172,Mimosa Hibiscus Passion,https://1ou2cocktails.com/cocktails/mimosa-hibiscus-passion/,36.62,0.0,136.33,7.55,6.95,0.1,79.21000000000001,3.66,0.0,0.0,0.0,0.0
cocktail_5141,Slush Tropicale au Gin,https://1ou2cocktails.com/cocktails/slush-tropicale-au-gin/,269.23,0.12,167.54,7.73,5.31,0.4,47.38,5.5,0.03,3.97,0.0,0.01
cocktail_5131,Limonade à la Pêche Blanche,https://1ou2cocktails.com/cocktails/limonade-a-la-peche-blanche/,47.38,0.09,23.48,2.1,3.06,0.26,30.9,2.07,0.02,2.98,0.0,0.0
cocktail_5115,Spritz Blanc,https://1ou2cocktails.com/cocktails/spritz-blanc/,269.31,0.05,113.64,5.78,6.409999999999999,0.06,67.92999999999999,7.2,0.0,0.0,0.0,0.0
cocktail_5036,Melon d’Eau et Basilic Smash,https://1ou2cocktails.com/cocktails/melon-deau-et-basilic-smash/,150.28,0.09,51.33000000000001,2.1,3.06,0.27,31.43,2.5,0.02,2.98,0.0,0.0
cocktail_5031,Limonade à la Menthe,https://1ou2cocktails.com/cocktails/limonade-a-la-menthe/,333.19,0.23,121.39,6.16,8.22,0.6900000000000001,84.06,6.67,0.06,7.94,0.0,0.01
cocktail_5025,Sour Fraise et Basilic,https://1ou2cocktails.com/cocktails/sour-fraise-et-basilic/,186.3,0.29,92.69,6.11,9.81,0.8500000000000001,97.38,5.49,0.07,9.92,0.0,0.02
cocktail_5017,Gin Tonic Café & Concombre,https://1ou2cocktails.com/cocktails/gin-tonic-cafe-concombre/,114.14,0.0,47.19,0.91,1.96,0.01,31.89,1.42,0.16,0.0,0.0,0.0
cocktail_5011,Beach Club,https://1ou2cocktails.com/cocktails/beach-club-vodka-pamplemousse/,180.27,0.32,100.26,6.68,10.77,0.9500000000000001,107.41,5.45,0.08,10.92,0.0,0.01
cocktail_4990,Sour Lillet et Mezcal,https://1ou2cocktails.com/cocktails/sour-lillet-et-mezcal/,66.88,0.09,67.05,4.93,6.08,0.3,65.54,2.93,0.02,2.98,0.0,0.0
cocktail_4987,Sauvez Willy,https://1ou2cocktails.com/cocktails/sauvez-willy/,203.63,0.17,73.95,4.21,6.12,0.53,62.65,4.56,0.04,5.95,0.0,0.01
cocktail_4980,Sangria aux Fraises du Québec,https://1ou2cocktails.com/cocktails/sangria-aux-fraises-du-quebec/,277.97,0.41,197.83,13.86,19.11,1.21,199.01,9.700000000000001,0.1,13.23,0.0,0.02
cocktail_4965,Sirop de basilic,https://1ou2cocktails.com/cocktails/sirop-de-basilic/,578.34,0.0,82.1,6.12,2.72,0.07,38.56,15.33,0.0,0.0,0.0,0.0
cocktail_4961,Tequila Kombucha,https://1ou2cocktails.com/cocktails/tequila-kombucha/,120.18,0.06,38.63,1.14,1.93,0.17,18.99,1.59,0.01,1.98,0.0,0.0
cocktail_4937,Gin & Jam à l’Argousier,https://1ou2cocktails.com/cocktails/gin-jam-a-largousier/,179.59,0.09,56.13,1.91,2.98,0.26,29.7,2.72,0.02,2.98,0.0,0.0
cocktail_4927,Gin Fizz Fraise et Rose,https://1ou2cocktails.com/cocktails/gin-fizz-fraise-et-rose/,223.75,0.03,39.06,0.47,0.94,0.01,9.719999999999999,3.39,0.0,0.0,0.0,0.0
cocktail_4922,Garde la Pêche,https://1ou2cocktails.com/cocktails/garde-la-peche/,311.76,0.7,139.01,5.87,9.24,0.3,150.39,3.38,0.04,6.720000000000001,0.0,0.72
cocktail_4912,Spicy Margarita au Soho,https://1ou2cocktails.com/cocktails/spicy-margarita-au-soho/,281.47,0.15,72.28999999999999,2.64,4.93,0.34,48.62,5.17,0.03,3.97,0.0,0.01
cocktail_4834,Sangria NO.900,https://1ou2cocktails.com/cocktails/sangria-no-900/,147.87,0.2,105.42,7.87,10.66,0.56,112.36,5.93,0.04,5.95,0.0,0.01
